"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","wdsp","slp","dewp","num_collisions"
"559",1169,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.863387978142076,0.98936170212766,0.15421686746988,NA,0.834905660377358,554
"560",2224,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.949602122015915,0.530612244897959,0.268493150684932,0.6105476673428,NA,722
"561",826,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.753799392097264,0.652173913043478,0.0771513353115727,0.363636363636363,0.823232323232323,531
"562",419,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.891428571428571,0.77319587628866,0.276422764227642,0.40552995391705,0.907090464547677,636
"563",1542,2016,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.909774436090226,0.710843373493976,0.233082706766917,0.566371681415931,0.943693693693694,680
"564",853,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.617021276595745,1,0.1513353115727,0.522727272727271,0.628787878787879,668
"565",214,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.488571428571429,0.422680412371134,0.287262872628726,0.423963133640552,0.623471882640587,497
"566",1952,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.726744186046512,0.290322580645161,0.184466019417476,0.598669623059865,0.8287841191067,776
"567",1373,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.50125313283208,0.795180722891566,0.639097744360902,0.1570796460177,0.495495495495495,585
"568",2146,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.676392572944297,0.928571428571429,0.172602739726027,0.590263691683571,NA,686
"569",961,2015,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.851063829787234,0.539759036144578,NA,0,402
"570",1992,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.308139534883721,0.913978494623656,0.553398058252427,0.0133037694013308,0.369727047146402,709
"571",780,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.829787234042553,0.869565217391304,0.0207715133531157,0.477272727272727,0.815656565656566,516
"572",1737,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.421511627906977,0.924731182795699,0.44336569579288,0.505543237250554,0.478908188585608,514
"573",1304,2016,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.385964912280702,1,0.165413533834586,0.626106194690265,0.349099099099099,658
"574",2532,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.768571428571429,0.435294117647059,0.35958904109589,0.388026607538803,0.827751196172249,744
"575",1192,2015,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.726775956284153,1,0.385542168674699,NA,0.742924528301887,597
"576",2604,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.854285714285714,0.270588235294118,0.147260273972603,0.611973392461199,0.899521531100479,533
"577",1094,2015,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.811475409836065,0.723404255319149,0.180722891566265,NA,0.837264150943396,662
"578",1801,2017,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.694767441860465,0.67741935483871,0.210355987055016,0.425720620842572,0.774193548387097,656
"579",2118,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.480106100795756,1,0.427397260273973,0.320486815415823,NA,662
"580",1281,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.446115288220551,1,0.424812030075188,0.469026548672566,0.369369369369369,422
"581",2007,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0261627906976744,1,0.546925566343042,0.787139689578712,0.00248138957816372,609
"582",204,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.505714285714286,0.690721649484536,0.363143631436314,0.334101382488479,0.584352078239609,393
"583",1162,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.849726775956284,1,0.168674698795181,NA,0.792452830188679,541
"584",1292,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.378446115288221,0.951807228915662,0.661654135338346,0.280973451327433,0.310810810810811,605
"585",911,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.544072948328267,0.945652173913043,0.246290801186944,0.506198347107437,0.623737373737374,349
