"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","wdsp","num_collisions"
"714",83,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.602605863192182,1,0.218446601941748,654
"715",255,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.502857142857143,0.742268041237113,0.308943089430894,547
"716",1622,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.431077694235589,1,0.548872180451128,701
"717",1839,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.808139534883721,0.89247311827957,0.226537216828479,707
"718",1867,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.872093023255814,0.924731182795699,0.113268608414239,655
"719",687,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.70516717325228,0.978260869565218,0.172106824925816,507
"720",1674,2017,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.328488372093023,0.967741935483871,0.13915857605178,545
"721",2126,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.580901856763926,0.775510204081633,0.194520547945205,690
"722",2090,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.395225464190981,0.653061224489796,0.580821917808219,760
"723",7,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.96742671009772,0.941176470588235,0.131067961165049,490
"724",1584,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.56390977443609,1,0.075187969924812,732
"725",1941,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.816860465116279,0.860215053763441,0.44336569579288,685
"726",625,2014,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.234042553191489,1,0.364985163204748,519
"727",1115,2015,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.950819672131147,0.372340425531915,0.168674698795181,727
"728",1316,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.458646616541353,1,0.172932330827068,423
"729",906,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.553191489361702,0.630434782608696,0.261127596439169,732
"730",1058,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.693989071038251,1,0.339759036144578,432
"731",458,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.757142857142857,1,0.149051490514905,616
