"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","wdsp","slp","dewp","num_collisions"
"1110",240,2013,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.986406946230982,0.0752138270234493,0.694969859879793,-0.164102403499765,-0.782500888646742,490
"1111",2574,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.78940126903189,-1.12983690620839,-0.363902507876146,-0.959142453578355,1.65465771743508,586
"1112",1043,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.132800030417283,-1.81721232995931,-1.03450522779848,1.1162765017055,0.375030499677525,560
"1113",1484,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.53538837879947,0.744980028996378,-0.564354141093736,-0.469485819011385,1.13828282130178,566
"1114",2322,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0850508156134501,-0.236960309828518,1.85426600807426,-1.03202187407351,-0.00992539594900367,606
"1115",1585,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.236108349958687,0.744980028996378,-0.272346606107944,1.10644101344316,0.3156209952274,665
"1116",2403,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.00077878792941,0.175808345982473,1.05174232698032,-0.882427871447086,-0.838579566849686,630
"1117",2377,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.847892209465779,0.659380661608717,-0.17925318159052,-0.294282741773927,-0.796676419214648,598
"1118",1703,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.531155495938848,0.405386360928865,-0.74079574873013,1.72694763370095,-0.296978917718218,591
"1119",605,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.66570529654358,0.706265368315116,1.23826608059759,-0.295175848897078,-2.02743190041402,513
"1120",2029,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.892585928069578,0.827898366437909,0.791195977099269,-0.833419726485483,-0.738832544063557,530
