"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","num_collisions"
"1391",1967,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17.2,9.1,808
"1392",550,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,20.6,6.5,642
"1393",1133,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.6,4.2,663
"1394",1327,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21.1,7.9,626
"1395",956,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,22.4,10,614
"1396",1881,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.4,10,550
"1397",841,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.2,9.9,641
"1398",2217,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-5.8,10,529
"1399",2256,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.4,10,487
"1400",1160,2016,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.2,8.5,621
"1401",1645,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,16.6,10,610
"1402",2148,2018,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1.2,10,749
"1403",24,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-9.8,10,554
"1404",1048,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,12.5,9.1,508
"1405",90,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.3,6.8,479
"1406",1557,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.6,3,688
"1407",180,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18.6,1.9,423
"1408",1152,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.1,3.4,608
"1409",31,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.1,5.9,592
"1410",2370,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22.8,6.6,638
"1411",828,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.8,3.6,645
"1412",1097,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3,8.8,481
"1413",769,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-9.9,9.5,621
"1414",2438,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11.1,10,435
"1415",265,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14.2,10,661
"1416",2094,2018,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9.3,10,719
"1417",363,2014,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.1,10,399
"1418",477,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.8,10,555
"1419",2235,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4,10,419
"1420",590,2014,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,17.7,9.9,551
"1421",1236,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16.2,3.8,709
"1422",1562,2017,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.6,9.5,714
"1423",1734,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,17.9,8.7,685
"1424",2007,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,22.7,6.5,463
"1425",176,2013,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,20.8,6.1,621
"1426",1926,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.1,4.9,736
"1427",1644,2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17.6,10,635
