"","id","year","mo","day","temp","visib","num_collisions"
"1651",657,2014,4,5,4.7,9.9,496
"1652",2339,2018,11,7,8.7,6.1,483
"1653",2506,2019,5,6,13.8,7,637
"1654",1944,2017,10,4,15.6,7.8,658
"1655",503,2013,11,5,11.7,10,617
"1656",2617,2019,8,5,20,9.2,630
"1657",1210,2015,10,5,13.4,10,742
"1658",1018,2015,4,2,9.9,8.9,542
"1659",1281,2016,1,6,3.2,10,422
"1660",1680,2017,2,6,-2,10,541
"1661",924,2015,1,6,-2.8,10,481
"1662",360,2013,6,2,20.9,8.4,648
"1663",1266,2015,12,5,12.3,2.4,767
"1664",1877,2017,8,7,22.7,6.3,538
"1665",155,2012,12,7,6.8,3.9,455
"1666",2652,2019,10,5,14.1,9.4,708
"1667",1348,2016,3,3,8,8,660
"1668",1471,2016,7,7,17.2,6.8,508
"1669",2718,2019,12,1,9,7.3,737
"1670",997,2015,3,2,-0.3,10,601
"1671",1062,2015,5,4,16.9,9.2,682
"1672",116,2012,10,3,13.9,6.4,494
"1673",263,2013,3,3,2.5,10,540
"1674",352,2013,6,1,17.3,7,614
"1675",1034,2015,4,4,8.9,10,640
"1676",193,2013,1,3,4.4,6.8,487
"1677",1329,2016,2,5,1.5,10,532
"1678",1330,2016,2,6,6,8.8,555
"1679",1881,2017,8,4,21.1,10,631
"1680",1398,2016,4,4,8.7,10,489
"1681",1337,2016,2,6,-0.7,10,388
"1682",2601,2019,8,3,21.7,8.6,537
"1683",2222,2018,7,2,20.5,8.4,709
"1684",2223,2018,8,3,20.7,7.5,660
"1685",62,2012,8,5,25.9,9.9,701
"1686",1939,2017,10,6,14.9,10,583
"1687",1724,2017,3,1,4,9.4,750
"1688",613,2014,3,3,-1.4,9.5,491
"1689",1656,2017,1,3,7.2,6.5,629
"1690",1107,2015,7,7,21.9,9.7,521
"1691",2586,2019,7,2,22.8,6.6,638
"1692",2534,2019,6,6,15.9,9.8,580
"1693",2619,2019,9,7,17.7,10,473
"1694",949,2015,2,3,-2.2,10,585
"1695",2076,2018,3,3,3.4,8.9,517
"1696",1853,2017,7,4,16.6,10,610
"1697",132,2012,11,5,6.3,9.8,688
"1698",619,2014,3,2,5.2,8.3,510
"1699",1159,2015,9,3,18.9,9.7,654
"1700",2191,2018,6,6,21.7,10,651
"1701",2230,2018,8,3,23.7,5.9,656
"1702",926,2015,1,1,4.9,7.7,580
"1703",2610,2019,8,5,22.2,9.4,569
"1704",176,2012,12,7,3.2,10,408
"1705",2593,2019,8,2,20.5,9.8,551
"1706",2712,2019,12,2,4.4,5.2,620
"1707",1917,2017,9,5,15.3,10,757
"1708",2659,2019,10,5,13.1,3.6,606
"1709",1106,2015,7,6,22.1,10,597
"1710",1351,2016,3,6,5.1,8.8,625
"1711",987,2015,3,6,3.7,5.8,507
"1712",685,2014,5,5,14.6,9.1,700
"1713",2545,2019,6,3,16.8,6.7,591
"1714",1245,2015,11,5,11.4,9.8,480
"1715",2562,2019,7,6,20.5,1.5,471
"1716",103,2012,10,4,11.9,10,657
"1717",424,2013,8,3,19.1,3.9,482
"1718",2155,2018,5,5,13.6,8,799
"1719",109,2012,10,3,11.1,10,615
"1720",786,2014,8,1,17.4,10,549
"1721",1873,2017,8,3,21.7,6.8,600
"1722",2194,2018,7,2,19.4,2.9,678
"1723",196,2013,1,6,5.9,7.1,475
"1724",2079,2018,3,6,3.4,10,567
"1725",2085,2018,3,5,2.3,10,753
"1726",1166,2015,9,3,24.3,7.6,740
"1727",1356,2016,3,4,7.4,5.9,612
"1728",242,2013,2,3,6.7,5.9,550
"1729",1099,2015,7,6,17.2,8,389
"1730",507,2013,11,2,8.3,9.8,600
"1731",1013,2015,4,4,4.1,4.5,452
"1732",1359,2016,3,7,2.9,10,479
"1733",941,2015,1,2,-1,0.6,188
"1734",2276,2018,9,7,15.4,10,475
"1735",1614,2016,11,3,11.6,4.1,730
"1736",520,2013,12,1,6.7,7,549
"1737",51,2012,8,1,21.9,10,473
"1738",2279,2018,9,3,20.8,6.9,755
"1739",2532,2019,6,4,16.7,5.2,744
"1740",1452,2016,6,2,17.6,7.4,681
"1741",517,2013,11,5,-0.4,10,437
"1742",2590,2019,8,6,21.3,10,566
"1743",1045,2015,5,1,14.4,0.8,645
"1744",2423,2019,2,7,-0.6,10,439
"1745",870,2014,11,1,11.2,6.5,666
"1746",1124,2015,7,3,24.4,5.4,629
"1747",1637,2016,12,5,3.9,10,692
"1748",1399,2016,4,5,7.8,10,517
"1749",2409,2019,2,7,1.9,8.1,490
"1750",2634,2019,9,1,18.6,9.6,620
"1751",2181,2018,6,3,17.1,7.9,698
"1752",1983,2017,12,1,4.9,10,684
"1753",283,2013,4,2,9.7,6.7,613
"1754",2142,2018,5,6,9.4,9.5,602
"1755",1105,2015,7,5,18.4,8.7,709
"1756",857,2014,11,2,11.5,10,538
"1757",1625,2016,12,7,-1.2,10,522
"1758",1764,2017,4,6,12.3,2.7,661
"1759",1145,2015,8,3,23.3,6.3,594
"1760",2402,2019,1,7,1.7,9.9,445
"1761",1000,2015,3,5,5.8,5.1,532
"1762",827,2014,10,7,15.3,9.6,505
"1763",2214,2018,7,1,21.1,7.3,614
"1764",2204,2018,7,5,18.2,10,726
"1765",623,2014,3,6,5.2,8.8,519
"1766",2296,2018,10,6,11.8,10,577
"1767",2043,2018,2,5,1.2,6.4,617
"1768",2342,2018,11,3,5,10,573
"1769",1439,2016,6,3,16.5,8.4,763
"1770",1754,2017,4,3,5.4,10,580
"1771",1938,2017,10,5,16.7,10,823
"1772",553,2014,1,6,-7.3,9.3,418
"1773",1611,2016,11,7,6.3,10,466
"1774",2395,2019,1,7,6.2,2.8,411
"1775",2260,2018,9,5,21.7,10,671
"1776",1608,2016,11,4,5.7,10,428
"1777",539,2013,12,6,8.7,5.5,594
"1778",1098,2015,7,5,20.2,7.6,549
"1779",780,2014,8,2,17.7,8.8,516
"1780",2461,2019,3,3,1.3,10,562
"1781",1510,2016,8,4,21.9,9.9,635
"1782",1912,2017,9,7,18.5,3.7,587
"1783",1649,2017,1,3,8.1,6.2,590
"1784",603,2014,2,7,5.6,9.5,414
"1785",2655,2019,10,1,19.4,10,575
"1786",890,2014,12,7,5.5,8,493
"1787",1194,2015,10,3,13.9,10,668
"1788",2347,2018,12,1,10.6,2.7,697
"1789",1170,2015,9,7,20.1,8.8,478
"1790",851,2014,10,3,16.6,8,556
"1791",2000,2017,12,4,0.2,10,742
"1792",1368,2016,3,2,9.2,9.7,683
"1793",1230,2015,11,4,11.4,7.3,637
"1794",746,2014,7,3,21.3,6,551
"1795",1826,2017,6,5,19.4,8.8,747
"1796",828,2014,10,1,13.2,10,639
"1797",1179,2015,9,2,17.5,10,571
"1798",2580,2019,7,3,18.9,9.9,626
"1799",2293,2018,10,3,19,3.9,708
"1800",2056,2018,2,4,4.9,2.2,645
"1801",425,2013,8,4,18.7,5.8,572
"1802",2138,2018,5,2,9.1,4.9,736
"1803",1125,2015,7,4,23.4,6.2,717
"1804",2134,2018,5,5,11.8,7.8,723
"1805",221,2013,2,3,1.6,9,566
"1806",1540,2016,9,6,17,9.7,646
"1807",923,2015,1,5,1.8,9.5,751
"1808",2735,2019,12,4,2.2,10,414
"1809",1927,2017,10,1,19.1,6.2,546
"1810",1189,2015,10,5,13.3,4.1,798
"1811",1704,2017,2,2,6.8,9,591
"1812",2353,2018,12,7,-1.3,10,465
"1813",2108,2018,4,7,3.3,9.5,468
"1814",2502,2019,5,2,9.1,10,647
"1815",2554,2019,6,5,19.3,6.3,753
"1816",1690,2017,2,2,-1.1,10,688
"1817",867,2014,11,5,6.5,9.7,654
"1818",2343,2018,11,4,5.2,10,646
"1819",1592,2016,11,2,8.4,10,620
"1820",346,2013,6,2,16,1.8,635
"1821",2540,2019,6,5,16.5,8.2,749
"1822",270,2013,3,3,5.4,10,441
"1823",667,2014,4,1,8.1,10,597
"1824",441,2013,9,6,18.1,10,519
"1825",1184,2015,9,7,15.2,10,493
"1826",2489,2019,4,3,10.8,8,515
"1827",2556,2019,6,7,20.7,8.3,569
"1828",1564,2016,10,2,12.4,10,739
"1829",340,2013,6,3,14.8,9.8,599
"1830",2195,2018,7,3,22.1,4.8,406
"1831",1492,2016,7,7,19.7,6.7,529
"1832",447,2013,9,5,17,9.5,631
"1833",2274,2018,9,5,15.9,10,715
"1834",1583,2016,10,7,16.2,9.3,557
"1835",1275,2015,12,7,11.6,4.5,518
"1836",2412,2019,2,3,3.9,9.9,615
"1837",2584,2019,7,7,19.4,9.6,527
"1838",840,2014,10,6,17.1,9,494
"1839",524,2013,12,5,10.3,3,759
"1840",2149,2018,5,6,9.8,6,583
"1841",1224,2015,11,5,16.8,4.3,616
"1842",1546,2016,9,5,19.1,9.5,812
"1843",1063,2015,5,5,18.6,9.2,813
"1844",1584,2016,10,1,9.1,8.2,655
"1845",1177,2015,9,7,21.5,7.5,556
"1846",1076,2015,6,4,18.1,9.1,666
"1847",1423,2016,5,1,15.2,10,652
"1848",1705,2017,3,3,8.6,2,571
"1849",1242,2015,11,2,3.1,10,733
"1850",1466,2016,7,2,19.5,6.2,663
"1851",842,2014,10,1,9.4,10,591
"1852",2118,2018,4,3,5.5,10,662
"1853",1153,2015,8,4,22.4,10,614
"1854",677,2014,5,4,11.1,9.6,596
"1855",2088,2018,3,1,-0.8,10,686
"1856",2675,2019,10,7,11.9,7.6,467
"1857",2683,2019,11,1,8.9,10,623
"1858",2245,2018,8,4,21.1,9.7,610
"1859",1373,2016,4,7,5.4,8.3,585
"1860",118,2012,10,5,16,10,598
"1861",1949,2017,10,2,14.3,10,696
"1862",1635,2016,12,3,3.8,10,676
"1863",1116,2015,7,2,22.6,3.6,606
"1864",2232,2018,8,5,24.9,9.6,707
"1865",1502,2016,8,3,21.4,9.9,618
"1866",720,2014,6,5,18.1,9.8,765
"1867",1114,2015,7,7,21.9,6.9,545
"1868",1273,2015,12,5,13.4,4,321
"1869",314,2013,5,5,13.4,5.7,698
"1870",718,2014,6,3,22,6.4,663
"1871",1919,2017,10,7,13.1,10,571
"1872",1181,2015,9,4,16.4,10,619
"1873",2561,2019,7,5,18.9,4.7,542
"1874",1376,2016,4,3,2.8,10,628
"1875",1417,2016,5,2,12.8,10,624
"1876",2428,2019,2,5,3.5,10,546
"1877",1978,2017,11,3,11.2,9.8,701
"1878",1309,2016,1,6,3.2,10,596
"1879",2629,2019,9,3,20.2,10,624
"1880",794,2014,9,2,21.7,1.7,700
"1881",953,2015,2,7,1.4,7.6,394
"1882",2573,2019,7,3,21.6,5.7,630
"1883",683,2014,5,3,10.7,10,638
"1884",39,2012,8,3,25.4,8.8,528
"1885",1244,2015,11,4,10.1,10,383
"1886",437,2013,9,2,18.6,10,629
"1887",1413,2016,5,5,13.1,6.6,766
"1888",1459,2016,6,2,18.9,7.5,675
"1889",2603,2019,8,5,19.2,7.8,523
"1890",1589,2016,11,6,8.8,10,626
"1891",1339,2016,2,1,8.8,7.2,616
"1892",1209,2015,10,4,15.8,8.8,666
"1893",148,2012,11,7,2.6,10,415
"1894",1495,2016,8,3,19.7,10,687
"1895",1435,2016,6,6,15.7,4.2,635
"1896",1346,2016,3,1,2.7,9.9,571
"1897",253,2013,3,7,3.9,10,415
"1898",1143,2015,8,1,23.4,7.6,592
"1899",1903,2017,9,5,19.9,6.7,827
"1900",316,2013,5,7,13.4,3.3,527
"1901",694,2014,5,7,12.1,10,472
"1902",246,2013,3,7,3,10,502
"1903",1890,2017,9,6,14.8,10,562
"1904",1494,2016,8,2,19.4,9.7,602
"1905",2292,2018,10,2,17.3,10,628
"1906",1164,2015,9,1,22.8,10,485
"1907",284,2013,4,3,8.1,7.6,580
"1908",204,2013,1,7,7.9,7,393
"1909",15,2012,7,7,26.5,9.1,494
"1910",147,2012,11,6,6.7,9.5,458
"1911",359,2013,6,1,19.3,2.8,680
"1912",1070,2015,6,5,11.7,10,692
"1913",123,2012,10,3,9.8,8.6,549
"1914",2310,2018,10,6,10,5.7,757
"1915",1703,2017,2,1,3.9,10,540
"1916",1058,2015,5,7,13.6,10,432
"1917",81,2012,9,3,19.3,7.6,612
"1918",1923,2017,10,4,17.6,8.4,657
