"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","wdsp","slp","dewp","num_collisions"
"1231",218,2013,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,18.1,9.9,5.9,1022,13.3,508
"1232",1786,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-2.4,10,11.6,1022.8,-10.1,547
"1233",375,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.5,5.2,13.6,1012.5,6.2,559
"1234",1211,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.1,6.6,9.6,1014.8,10.9,766
"1235",2381,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,21.8,10,12.1,1007.8,17.1,572
"1236",523,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19.2,4.8,6.6,1009.7,17.7,613
"1237",475,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.8,9.9,5.5,1012.5,2.3,449
"1238",1248,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15.5,10,11.3,1027.6,10.8,559
"1239",1818,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.7,10,12.1,1014.3,-5.9,599
"1240",1949,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.8,3.7,7.5,1019.2,12.6,698
"1241",125,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.6,5.1,6.3,1024.3,6.3,561
"1242",1441,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.1,10,16.2,1016.6,-6.1,465
"1243",2475,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12.2,8.4,15.1,1009.5,10.2,595
"1244",2218,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-3.3,7.4,9.2,1020,-7.4,699
"1245",2408,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15.2,9.1,10.7,1016.1,12.8,591
"1246",1170,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.2,5,9.8,1000,8.7,597
"1247",862,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.9,10,13.1,1025.6,11.4,420
"1248",346,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-2.8,8.1,12.3,1029.8,-9,690
"1249",2135,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.6,10,12.3,1018.3,-6.4,681
