"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","num_collisions"
"207",2272,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.08701670917528,-0.107817043798817,519
"208",670,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0216550350564689,-2.73967653095384,650
"209",1034,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.272247243105484,0.787673487949242,640
"210",765,2014,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.23035247176833,-1.32075927831368,589
"211",2106,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.907577154394573,0.574362301580479,515
"212",1643,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-1.17144501461883,0.0376838146963146,542
"213",207,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2.52902182739836,0.77913810557624,545
"214",326,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.465465883103019,-2.32641018215666,570
"215",2710,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.01351933613472,0.756095124733965,409
"216",822,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.888895878997932,-0.966029965153641,589
"217",1225,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.586593919739543,-0.656118107084886,500
"218",755,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.17976630987642,0.706265368315116,653
"219",996,2015,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.61853879567336,0.787673487949242,586
"220",1408,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.318792495692066,-2.84202220066823,591
"221",2192,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.38808748103488,0.318545047063243,563
"222",2158,2018,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.171259778102327,-0.960541225522936,409
"223",2670,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.375200418243286,-0.259406738081147,562
"224",1410,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0616433233173268,0.744980028996378,608
"225",581,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.05867135384065,0.706265368315116,507
"226",942,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.97832360713547,-0.795839874346253,458
"227",1465,2016,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.169965870688,0.694458870832088,488
"228",701,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.547439286227532,0.706265368315116,604
"229",961,2015,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.67468130673954,0.135638574062861,402
"230",871,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.122827358840291,-0.408598187330722,712
"231",1334,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.44059999839589,-1.27586629757523,660
"232",526,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.2456699514692,0.77913810557624,456
"233",1670,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.755804112413564,0.198440875979165,576
"234",734,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.35681787649811,-2.3849472177938,360
"235",1060,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.574987958079475,0.694525643108331,686
"236",2140,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00817977667837713,-0.789996389178112,663
"237",489,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.789544639650787,-0.752932383038658,710
"238",244,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.856775443611874,0.530694242557608,603
"239",1787,2017,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00257051599834079,0.612331845878565,719
"240",1333,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.2255816824872,0.744980028996378,623
"241",111,2012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.150125423627557,-1.60816513212927,738
"242",1191,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.250021031597573,0.787673487949242,536
"243",1279,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.365094936386027,0.554803875846963,527
"244",1895,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.14710181537226,-0.0498937059604753,790
"245",2626,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.06319002132963,0.756095124733965,462
"246",2537,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.897562894660699,-1.46833752714676,682
"247",16,2012,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.19161250990751,0.270772580624797,528
"248",259,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.02529639701671,0.77913810557624,521
"249",61,2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.730044369397074,0.755659732303267,618
"250",788,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.17976630987642,-1.06738119748508,538
"251",1983,2017,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.78223336141059,0.819277330828265,684
"252",1955,2017,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.790306953912421,-0.256839190910175,682
"253",1294,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.2255816824872,0.744980028996378,722
"254",2224,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.58880132894128,-1.13108606186776,722
"255",1354,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.332326662659158,-2.58941640984678,608
"256",2479,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0197565761210996,-2.77398277933762,457
"257",832,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.585378907646465,0.706265368315116,541
"258",2235,2018,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.26264132609338,-0.150453252885023,617
"259",2689,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.185383702790036,0.756095124733965,457
"260",1299,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.75341419420377,0.744980028996378,623
"261",268,2013,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.947517495445249,0.77913810557624,498
"262",2570,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.47088756389932,-0.259406738081147,497
"263",1969,2017,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.808662610407615,0.819277330828265,748
"264",1151,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.32937546598389,0.647951720687874,595
"265",795,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.63504176690362,-0.256571338833563,580
"266",697,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0289311268354423,-3.04373022794816,538
"267",2156,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.547598242926827,-0.406270507402259,601
"268",777,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.10388706703855,0.554238519817956,490
"269",1039,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.308050839897912,0.694525643108331,638
"270",520,2013,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.519733536802196,-0.46308120951692,549
"271",2230,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.65152440641203,-0.91790501643673,656
"272",943,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.49087321741262,0.787673487949242,519
"273",477,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.504355333888751,0.77913810557624,490
