collision_date,contributing_factor,num_contributing_factor
2013-11-26,Drugs (Illegal),2
2012-07-27,Drugs (Illegal),1
2013-10-20,Other Lighting Defects,1
2013-01-18,Headlights Defective,1
2014-05-15,Drugs (Illegal),1
2019-01-11,Tow Hitch Defective,1
2018-02-24,Other Lighting Defects,1
2014-08-26,Cell Phone (hands-free),2
2015-11-10,Drugs (Illegal),2
2014-03-03,Cell Phone (hand-held),1
2019-04-09,Listening/Using Headphones,1
2021-12-13,Tinted Windows,1
2020-05-29,Tow Hitch Defective,1
2016-09-10,Cell Phone (hand-Held),2
2016-03-02,Cell Phone (hands-free),1
2014-09-18,Drugs (Illegal),2
2015-05-12,Cell Phone (hands-free),1
2015-06-26,Cell Phone (hands-free),1
2016-01-16,Drugs (Illegal),1
2017-11-01,Headlights Defective,1
2015-06-10,Cell Phone (hands-free),3
2015-12-18,Cell Phone (hands-free),1
2013-09-11,Drugs (Illegal),2
2013-01-30,Drugs (Illegal),1
2022-12-02,Other Lighting Defects,2
2016-08-20,Cell Phone (hand-Held),1
2015-09-28,Cell Phone (hands-free),1
2014-06-20,Drugs (Illegal),2
2016-04-06,Cell Phone (hand-Held),2
2018-03-19,Windshield Inadequate,1
2022-03-24,Headlights Defective,1
2014-05-05,Cell Phone (hand-held),1
2017-05-02,Cell Phone (hands-free),1
2017-05-02,Cell Phone (hand-Held),1
2020-12-10,Listening/Using Headphones,1
2021-03-08,Other Lighting Defects,1
2014-12-24,Headlights Defective,1
2013-05-07,Cell Phone (hands-free),1
2018-01-17,Tinted Windows,1
2014-10-07,Other Lighting Defects,1
2015-02-27,Other Lighting Defects,2
2016-03-31,Cell Phone (hand-Held),1
2015-07-31,Drugs (Illegal),2
2015-07-29,Drugs (Illegal),1
2019-10-12,Other Lighting Defects,1
2018-10-04,Other Lighting Defects,1
2013-02-18,Drugs (Illegal),1
2018-08-23,Other Lighting Defects,1
2016-04-02,80,8
2014-05-15,Other Lighting Defects,1
2014-05-21,Cell Phone (hand-held),1
2013-10-05,Tow Hitch Defective,1
2013-12-17,Cell Phone (hands-free),2
2018-06-07,Windshield Inadequate,1
2016-03-27,80,4
2019-06-07,Tinted Windows,1
