collision_date,contributing_factor,num_contributing_factor
2019-12-16,Steering Failure,2
2016-11-27,Steering Failure,1
2016-05-27,Steering Failure,4
2014-10-21,Steering Failure,2
2015-07-13,Steering Failure,1
2016-01-22,Steering Failure,1
2014-12-03,Steering Failure,1
2015-06-28,Steering Failure,3
2014-02-03,Steering Failure,2
2013-03-18,Steering Failure,1
2016-04-22,Steering Failure,1
2022-09-03,Steering Failure,2
2012-12-23,Steering Failure,1
2013-07-22,Steering Failure,4
2020-10-10,Steering Failure,1
2015-09-06,Steering Failure,2
2012-09-30,Steering Failure,2
2016-02-29,Steering Failure,2
2020-10-25,Steering Failure,1
2014-07-30,Steering Failure,1
2013-02-21,Steering Failure,1
2015-11-15,Steering Failure,2
2014-02-13,Steering Failure,2
2015-07-05,Steering Failure,3
2014-07-19,Steering Failure,1
2014-09-30,Steering Failure,4
2018-05-11,Steering Failure,1
2021-05-02,Steering Failure,1
2015-11-10,Steering Failure,1
2014-11-01,Steering Failure,1
2013-03-23,Steering Failure,2
2021-06-27,Steering Failure,1
2014-08-12,Steering Failure,2
2013-10-05,Steering Failure,1
2014-10-25,Steering Failure,5
2016-10-26,Steering Failure,1
2015-11-08,Steering Failure,3
2019-06-26,Steering Failure,2
2015-05-10,Steering Failure,3
2014-06-21,Steering Failure,2
2013-08-06,Steering Failure,2
2014-10-05,Steering Failure,2
2012-12-21,Steering Failure,2
2017-12-14,Steering Failure,1
2012-12-27,Steering Failure,2
2016-05-22,Steering Failure,4
2015-10-11,Steering Failure,3
2016-01-26,Steering Failure,1
2015-10-25,Steering Failure,2
2022-02-15,Steering Failure,2
2015-07-19,Steering Failure,3
2020-08-08,Steering Failure,2
2017-06-09,Steering Failure,2
2015-02-23,Steering Failure,1
2015-04-21,Steering Failure,3
2015-08-22,Steering Failure,3
2014-04-26,Steering Failure,1
2016-10-11,Steering Failure,2
2018-04-03,Steering Failure,1
2013-04-09,Steering Failure,2
2013-07-20,Steering Failure,2
2014-01-25,Steering Failure,1
2018-04-15,Steering Failure,2
2017-11-03,Steering Failure,1
2019-06-27,Steering Failure,1
2016-07-07,Steering Failure,1
2015-05-14,Steering Failure,2
2018-06-21,Steering Failure,7
2016-04-18,Steering Failure,2
2016-01-07,Steering Failure,2
2016-10-15,Steering Failure,3
2016-01-29,Steering Failure,1
2015-02-17,Steering Failure,3
2018-07-30,Steering Failure,3
2014-10-15,Steering Failure,2
2019-09-19,Steering Failure,3
2017-08-26,Steering Failure,1
2018-12-04,Steering Failure,3
2013-10-06,Steering Failure,1
2014-07-20,Steering Failure,1
2014-12-25,Steering Failure,2
2016-04-17,Steering Failure,1
2019-06-22,Steering Failure,1
2012-09-06,Steering Failure,1
2022-10-29,Steering Failure,4
2015-10-24,Steering Failure,3
2020-08-26,Steering Failure,1
2016-01-11,Steering Failure,1
2020-07-10,Steering Failure,1
2019-06-20,Steering Failure,1
2017-08-24,Steering Failure,2
2018-01-27,Steering Failure,2
2015-06-14,Steering Failure,2
2022-09-15,Steering Failure,2
2018-08-22,Steering Failure,2
2021-05-04,Steering Failure,2
2018-09-29,Steering Failure,2
2014-03-22,Steering Failure,1
2017-04-15,Steering Failure,1
2014-01-04,Steering Failure,1
2013-11-05,Steering Failure,2
2022-10-31,Steering Failure,2
2021-04-06,Steering Failure,1
2015-04-23,Steering Failure,1
2022-09-25,Steering Failure,1
2019-01-23,Steering Failure,1
2021-06-15,Steering Failure,1
2021-08-01,Steering Failure,5
2018-12-27,Steering Failure,2
2014-06-24,Steering Failure,1
2013-07-09,Steering Failure,1
2016-08-11,Steering Failure,2
2020-04-17,Steering Failure,1
2019-07-24,Steering Failure,3
2018-10-07,Steering Failure,2
2013-02-18,Steering Failure,3
2017-08-23,Steering Failure,2
2021-12-29,Steering Failure,1
2016-05-30,Steering Failure,2
2020-01-09,Steering Failure,3
2014-12-07,Steering Failure,2
2014-09-15,Steering Failure,1
2012-08-07,Steering Failure,1
2015-02-24,Steering Failure,1
2017-02-07,Steering Failure,1
2016-04-02,Steering Failure,4
2012-08-26,Steering Failure,1
2022-11-03,Steering Failure,2
2019-01-02,Steering Failure,2
2019-10-08,Steering Failure,1
2012-07-29,Steering Failure,3
2013-12-29,Steering Failure,1
2015-01-06,Steering Failure,3
2016-06-29,Steering Failure,1
2016-07-10,Steering Failure,1
2014-06-20,Steering Failure,1
2017-07-16,Steering Failure,2
2018-09-28,Steering Failure,1
2012-10-23,Steering Failure,2
2021-08-12,Steering Failure,1
2020-05-07,Steering Failure,2
2015-10-09,Steering Failure,2
2013-11-14,Steering Failure,1
2016-01-14,Steering Failure,2
2013-11-22,Steering Failure,1
2016-06-10,Steering Failure,1
2022-10-23,Steering Failure,1
2017-02-13,Steering Failure,1
2013-08-28,Steering Failure,3
2012-09-05,Steering Failure,1
2017-02-10,Steering Failure,1
2018-12-22,Steering Failure,2
2021-07-11,Steering Failure,1
2021-08-24,Steering Failure,2
2021-08-14,Steering Failure,1
2019-06-17,Steering Failure,2
2021-08-07,Steering Failure,3
2017-01-25,Steering Failure,1
2021-05-29,Steering Failure,2
2021-06-05,Steering Failure,3
2016-08-08,Steering Failure,2
2018-03-06,Steering Failure,2
2017-08-12,Steering Failure,2
2018-06-02,Steering Failure,1
2020-07-19,Steering Failure,1
2019-06-01,Steering Failure,3
2021-12-26,Steering Failure,3
2017-10-06,Steering Failure,4
2017-12-01,Steering Failure,1
2020-10-07,Steering Failure,1
2021-08-22,Steering Failure,1
2018-08-20,Steering Failure,1
2017-10-15,Steering Failure,3
2021-05-16,Steering Failure,3
2018-05-17,Steering Failure,1
2020-10-27,Steering Failure,2
2021-09-23,Steering Failure,1
2021-04-12,Steering Failure,2
2022-08-21,Steering Failure,1
2019-01-04,Steering Failure,1
2021-11-13,Steering Failure,2
2018-05-30,Steering Failure,1
2022-07-12,Steering Failure,1
2017-04-23,Steering Failure,4
2021-12-07,Steering Failure,2
2016-11-14,Steering Failure,2
2018-11-25,Steering Failure,2
2018-06-30,Steering Failure,2
2021-02-20,Steering Failure,1
2019-05-25,Steering Failure,1
2020-05-13,Steering Failure,2
2017-05-25,Steering Failure,2
2019-06-25,Steering Failure,3
2018-01-03,Steering Failure,1
2021-01-01,Steering Failure,2
2021-05-17,Steering Failure,2
2017-06-07,Steering Failure,3
2022-07-02,Steering Failure,2
2018-04-24,Steering Failure,4
2022-07-29,Steering Failure,2
2017-07-07,Steering Failure,3
2016-11-12,Steering Failure,1
2017-05-28,Steering Failure,2
2019-10-28,Steering Failure,2
2022-01-14,Steering Failure,2
2020-04-27,Steering Failure,1
2019-07-25,Steering Failure,1
2018-08-14,Steering Failure,2
2017-08-04,Steering Failure,2
2021-10-31,Steering Failure,1
2022-05-10,Steering Failure,1
2016-10-18,Steering Failure,1
2020-01-12,Steering Failure,3
2021-03-22,Steering Failure,2
2017-04-07,Steering Failure,3
2020-02-09,Steering Failure,1
2018-04-07,Steering Failure,1
2020-09-30,Steering Failure,1
2019-08-06,Steering Failure,4
2022-10-03,Steering Failure,1
2018-06-17,Steering Failure,1
2019-07-08,Steering Failure,1
2017-08-21,Steering Failure,2
2016-08-03,Steering Failure,1
2022-11-17,Steering Failure,2
2021-08-20,Steering Failure,3
2016-09-28,Steering Failure,1
2022-07-21,Steering Failure,1
2018-04-04,Steering Failure,2
2017-01-23,Steering Failure,2
2020-02-25,Steering Failure,2
2022-07-10,Steering Failure,2
2019-03-11,Steering Failure,1
2017-01-30,Steering Failure,2
2020-11-13,Steering Failure,2
2016-10-16,Steering Failure,2
2018-08-28,Steering Failure,2
2017-06-14,Steering Failure,1
2020-07-18,Steering Failure,1
2017-08-15,Steering Failure,1
2021-04-29,Steering Failure,3
2018-07-14,Steering Failure,1
2016-12-20,Steering Failure,1
2020-11-02,Steering Failure,2
2017-07-30,Steering Failure,1
2020-03-17,Steering Failure,1
2019-01-28,Steering Failure,3
2020-12-14,Steering Failure,2
2018-05-09,Steering Failure,1
2017-12-09,Steering Failure,3
2018-01-02,Steering Failure,2
2022-03-07,Steering Failure,1
2018-07-19,Steering Failure,1
2021-12-25,Steering Failure,2
2018-12-20,Steering Failure,2
2021-12-24,Steering Failure,2
2022-11-07,Steering Failure,1
2021-05-08,Steering Failure,2
2017-08-13,Steering Failure,1
2020-03-27,Steering Failure,1
2016-06-16,Steering Failure,1
2016-07-22,Steering Failure,2
2016-08-10,Steering Failure,3
2022-06-10,Steering Failure,2
2017-07-14,Steering Failure,1
2016-08-16,Steering Failure,2
2017-10-04,Steering Failure,3
2017-05-14,Steering Failure,3
2018-11-13,Steering Failure,1
2020-07-22,Steering Failure,2
2016-07-23,Steering Failure,2
2021-07-04,Steering Failure,2
2016-09-27,Steering Failure,2
2017-02-17,Steering Failure,2
2017-09-15,Steering Failure,2
2017-05-20,Steering Failure,2
2019-03-08,Steering Failure,4
2019-10-12,Steering Failure,1
2016-11-13,Steering Failure,1
2016-12-27,Steering Failure,2
2016-04-11,Steering Failure,2
2021-06-08,Steering Failure,2
2017-10-08,Steering Failure,4
2020-01-10,Steering Failure,3
2022-06-21,Steering Failure,2
2022-05-15,Steering Failure,3
2021-03-23,Steering Failure,3
2021-01-24,Steering Failure,3
2016-07-16,Steering Failure,1
2019-03-18,Steering Failure,2
2020-01-20,Steering Failure,1
2021-12-11,Steering Failure,1
2018-05-26,Steering Failure,3
2022-07-09,Steering Failure,1
2021-03-11,Steering Failure,2
2018-06-13,Steering Failure,1
2019-09-04,Steering Failure,2
2022-02-04,Steering Failure,1
2017-09-22,Steering Failure,3
2020-03-19,Steering Failure,1
2019-07-14,Steering Failure,2
2021-10-20,Steering Failure,2
2015-05-31,Steering Failure,2
2015-09-27,Steering Failure,2
2015-10-03,Steering Failure,2
2021-10-16,Steering Failure,1
2015-06-06,Steering Failure,2
2013-09-09,Steering Failure,2
2013-09-29,Steering Failure,1
2014-10-28,Steering Failure,1
2013-08-04,Steering Failure,1
2015-08-05,Steering Failure,2
2015-06-01,Steering Failure,2
2014-10-12,Steering Failure,1
2014-05-01,Steering Failure,2
2013-11-25,Steering Failure,2
2016-05-12,Steering Failure,2
2021-04-16,Steering Failure,2
2020-01-26,Steering Failure,1
2016-03-13,Steering Failure,1
2015-07-26,Steering Failure,3
2016-03-20,Steering Failure,1
2016-07-12,Steering Failure,2
2014-04-16,Steering Failure,1
2016-03-24,Steering Failure,1
2018-10-31,Steering Failure,2
2021-04-01,Steering Failure,1
2016-12-15,Steering Failure,1
2018-05-31,Steering Failure,3
2017-02-05,Steering Failure,3
2020-07-06,Steering Failure,1
2020-10-24,Steering Failure,2
2022-09-04,Steering Failure,2
2021-02-01,Steering Failure,2
2014-07-16,Steering Failure,1
2020-02-11,Steering Failure,1
2020-12-02,Steering Failure,2
2021-12-18,Steering Failure,1
2014-09-09,Steering Failure,1
2013-07-26,Steering Failure,1
2014-12-29,Steering Failure,1
2015-09-15,Steering Failure,2
2017-07-31,Steering Failure,4
2015-06-04,Steering Failure,2
2018-10-17,Steering Failure,3
2021-11-28,Steering Failure,2
2021-12-20,Steering Failure,1
2016-10-31,Steering Failure,2
2013-05-18,Steering Failure,3
2015-03-31,Steering Failure,3
2016-10-05,Steering Failure,2
2018-01-06,Steering Failure,1
2018-09-27,Steering Failure,2
2019-08-14,Steering Failure,1
2018-04-16,Steering Failure,1
2014-09-07,Steering Failure,3
2017-03-05,Steering Failure,1
2021-10-24,Steering Failure,2
2022-08-15,Steering Failure,1
2021-07-12,Steering Failure,1
2019-04-06,Steering Failure,2
2018-08-15,Steering Failure,2
2022-05-20,Steering Failure,1
2022-03-10,Steering Failure,1
2021-12-06,Steering Failure,2
2017-12-17,Steering Failure,3
2017-10-29,Steering Failure,3
2013-06-06,Steering Failure,1
2013-02-23,Steering Failure,1
2012-08-20,Steering Failure,1
2019-01-14,Steering Failure,2
2022-08-12,Steering Failure,1
2014-11-16,Steering Failure,3
2015-03-15,Steering Failure,1
2016-04-19,Steering Failure,1
2020-01-17,Steering Failure,2
2018-11-10,Steering Failure,1
2019-11-14,Steering Failure,1
2015-02-14,Steering Failure,1
2014-02-15,Steering Failure,1
2015-01-24,Steering Failure,1
2012-12-08,Steering Failure,1
2018-01-22,Steering Failure,2
2018-09-03,Steering Failure,1
2016-01-16,Steering Failure,3
2014-12-24,Steering Failure,1
2015-05-24,Steering Failure,2
2022-06-18,Steering Failure,2
2019-04-29,Steering Failure,1
2019-09-13,Steering Failure,2
2014-05-11,Steering Failure,1
2019-07-31,Steering Failure,2
2022-02-26,Steering Failure,1
2019-01-10,Steering Failure,2
2017-08-31,Steering Failure,2
2014-05-19,Steering Failure,2
2017-07-04,Steering Failure,1
2022-01-23,Steering Failure,3
2015-12-15,Steering Failure,1
2016-01-10,Steering Failure,1
2015-12-07,Steering Failure,1
2021-10-14,Steering Failure,2
2016-04-03,Steering Failure,2
2015-09-30,Steering Failure,1
2017-10-05,Steering Failure,1
2020-03-12,Steering Failure,1
2017-08-07,Steering Failure,4
2020-10-05,Steering Failure,1
2019-01-27,Steering Failure,1
2019-09-14,Steering Failure,2
2022-01-16,Steering Failure,2
2018-02-09,Steering Failure,1
2019-10-29,Steering Failure,1
2021-09-11,Steering Failure,1
2016-10-09,Steering Failure,2
2018-07-15,Steering Failure,2
2020-06-21,Steering Failure,1
2015-09-08,Steering Failure,2
2015-01-03,Steering Failure,1
2020-12-10,Steering Failure,3
2016-07-27,Steering Failure,1
2015-02-07,Steering Failure,1
2014-07-06,Steering Failure,2
2016-12-16,Steering Failure,3
2021-11-14,Steering Failure,1
2018-12-08,Steering Failure,1
2020-12-28,Steering Failure,1
2018-11-08,Steering Failure,1
2020-07-26,Steering Failure,1
2018-07-04,Steering Failure,2
2016-07-30,Steering Failure,2
2013-07-07,Steering Failure,1
2016-05-01,Steering Failure,1
2017-04-27,Steering Failure,1
2019-07-06,Steering Failure,2
2015-06-17,Steering Failure,1
2015-07-25,Steering Failure,1
2020-04-28,Steering Failure,1
2021-06-06,Steering Failure,2
2020-11-11,Steering Failure,3
2013-08-25,Steering Failure,3
2015-06-23,Steering Failure,1
2016-09-01,Steering Failure,3
2020-02-21,Steering Failure,1
2016-10-25,Steering Failure,1
2015-04-26,Steering Failure,3
2021-09-03,Steering Failure,1
2012-09-09,Steering Failure,1
2016-09-10,Steering Failure,1
2017-12-06,Steering Failure,1
2019-11-04,Steering Failure,1
2022-08-03,Steering Failure,2
2021-07-30,Steering Failure,2
2012-08-22,Steering Failure,1
2018-07-26,Steering Failure,2
2016-12-03,Steering Failure,2
2021-06-16,Steering Failure,1
2022-03-11,Steering Failure,3
2016-04-21,Steering Failure,2
2013-12-21,Steering Failure,1
2014-02-01,Steering Failure,1
2022-03-31,Steering Failure,1
2016-09-04,Steering Failure,1
2022-10-12,Steering Failure,1
2018-01-13,Steering Failure,2
2022-08-04,Steering Failure,1
2021-01-22,Steering Failure,1
2016-05-29,Steering Failure,2
2017-02-08,Steering Failure,1
2013-11-29,Steering Failure,1
2021-09-19,Steering Failure,1
2021-08-11,Steering Failure,1
2017-07-20,Steering Failure,1
2020-09-18,Steering Failure,2
2019-09-09,Steering Failure,1
2017-09-02,Steering Failure,2
2021-03-14,Steering Failure,1
2020-12-07,Steering Failure,3
2013-01-20,Steering Failure,1
2016-07-02,Steering Failure,4
2022-06-26,Steering Failure,1
2019-03-09,Steering Failure,1
2016-06-08,Steering Failure,2
2020-09-02,Steering Failure,1
2022-05-08,Steering Failure,1
2012-07-15,Steering Failure,1
2014-09-14,Steering Failure,1
2019-07-27,Steering Failure,1
2021-05-03,Steering Failure,1
2014-12-21,Steering Failure,1
2021-12-15,Steering Failure,1
2022-06-15,Steering Failure,1
2022-06-12,Steering Failure,1
2012-10-21,Steering Failure,1
2017-01-22,Steering Failure,4
2018-01-29,Steering Failure,4
2016-12-08,Steering Failure,1
2014-05-07,Steering Failure,1
2020-11-18,Steering Failure,1
2017-01-10,Steering Failure,2
2015-01-10,Steering Failure,1
2014-02-05,Steering Failure,1
2015-05-05,Steering Failure,1
2022-10-13,Steering Failure,1
2014-02-24,Steering Failure,2
2018-08-11,Steering Failure,1
2016-01-18,Steering Failure,2
2014-04-02,Steering Failure,1
2015-05-22,Steering Failure,2
2016-01-06,Steering Failure,1
2019-10-27,Steering Failure,1
2019-12-21,Steering Failure,2
2022-11-26,Steering Failure,2
2019-08-08,Steering Failure,1
2020-07-01,Steering Failure,1
2019-12-11,Steering Failure,1
2020-02-14,Steering Failure,2
2017-06-01,Steering Failure,3
2018-01-07,Steering Failure,1
2021-08-02,Steering Failure,3
2018-05-27,Steering Failure,1
2017-11-17,Steering Failure,2
2021-08-09,Steering Failure,1
2012-11-07,Steering Failure,1
2013-05-15,Steering Failure,1
2021-08-21,Steering Failure,1
2021-04-18,Steering Failure,3
2018-07-13,Steering Failure,1
2014-01-29,Steering Failure,1
2015-10-18,Steering Failure,1
2015-07-21,Steering Failure,1
2020-09-08,Steering Failure,1
2015-02-09,Steering Failure,3
2014-08-16,Steering Failure,2
2020-09-17,Steering Failure,1
2016-09-25,Steering Failure,3
2022-04-19,Steering Failure,3
2018-10-19,Steering Failure,2
2018-01-24,Steering Failure,1
2018-12-13,Steering Failure,2
2019-10-31,Steering Failure,2
2022-06-13,Steering Failure,1
2019-06-07,Steering Failure,3
2020-05-30,Steering Failure,1
2019-12-29,Steering Failure,2
2017-12-22,Steering Failure,2
2015-08-09,Steering Failure,2
2014-06-17,Steering Failure,1
2019-11-02,Steering Failure,2
2019-06-30,Steering Failure,1
2018-08-29,Steering Failure,1
2016-07-06,Steering Failure,1
2019-01-15,Steering Failure,1
2013-05-13,Steering Failure,2
2021-06-21,Steering Failure,3
2016-05-17,Steering Failure,1
2018-08-09,Steering Failure,1
2020-03-26,Steering Failure,1
2015-11-11,Steering Failure,4
2015-09-26,Steering Failure,3
2016-05-23,Steering Failure,1
2017-10-19,Steering Failure,1
2022-10-21,Steering Failure,1
2014-09-05,Steering Failure,1
2022-04-15,Steering Failure,3
2019-12-25,Steering Failure,1
2014-04-20,Steering Failure,2
2019-12-14,Steering Failure,2
2013-03-01,Steering Failure,1
2015-07-08,Steering Failure,1
2018-01-11,Steering Failure,2
2019-02-22,Steering Failure,1
2020-12-03,Steering Failure,2
2021-12-02,Steering Failure,2
2015-10-19,Steering Failure,1
2018-02-08,Steering Failure,2
2016-07-15,Steering Failure,2
2022-03-24,Steering Failure,1
2019-05-01,Steering Failure,1
2021-10-07,Steering Failure,1
2018-09-16,Steering Failure,2
2013-12-24,Steering Failure,1
2016-09-09,Steering Failure,1
2020-01-16,Steering Failure,1
2020-05-11,Steering Failure,1
2021-06-19,Steering Failure,3
2022-07-05,Steering Failure,1
2018-08-30,Steering Failure,1
2016-03-19,Steering Failure,2
2019-05-06,Steering Failure,1
2019-02-28,Steering Failure,1
2016-11-17,Steering Failure,1
2015-12-12,Steering Failure,1
2014-12-01,Steering Failure,4
2019-08-10,Steering Failure,3
2018-03-08,Steering Failure,2
2020-12-30,Steering Failure,1
2014-01-21,Steering Failure,1
2015-06-05,Steering Failure,1
2020-02-20,Steering Failure,2
2019-03-10,Steering Failure,2
2017-02-19,Steering Failure,1
2014-09-28,Steering Failure,2
2022-12-03,Steering Failure,2
2019-02-15,Steering Failure,1
2019-05-30,Steering Failure,2
2017-01-28,Steering Failure,4
2016-02-21,Steering Failure,1
2020-02-01,Steering Failure,1
2022-07-23,Steering Failure,2
2018-09-08,Steering Failure,1
2019-09-30,Steering Failure,1
2015-09-14,Steering Failure,2
2019-04-09,Steering Failure,2
2017-07-23,Steering Failure,1
2015-08-21,Steering Failure,1
2014-04-04,Steering Failure,1
2022-02-13,Steering Failure,1
2013-03-30,Steering Failure,3
2017-04-02,Steering Failure,1
2018-07-12,Steering Failure,2
2018-05-22,Steering Failure,1
2018-05-01,Steering Failure,1
2017-04-25,Steering Failure,2
2019-02-09,Steering Failure,2
2021-08-05,Steering Failure,4
2021-12-03,Steering Failure,2
2019-03-28,Steering Failure,1
2019-02-14,Steering Failure,1
2020-03-09,Steering Failure,4
2017-06-26,Steering Failure,2
2021-10-27,Steering Failure,1
2015-08-24,Steering Failure,3
2014-12-18,Steering Failure,1
2014-12-17,Steering Failure,1
2021-03-30,Steering Failure,1
2020-11-24,Steering Failure,1
2021-06-25,Steering Failure,2
2014-09-24,Steering Failure,1
2015-10-20,Steering Failure,1
2017-12-10,Steering Failure,3
2013-08-11,Steering Failure,3
2021-12-31,Steering Failure,3
2018-07-11,Steering Failure,2
2022-08-11,Steering Failure,1
2017-06-17,Steering Failure,2
2018-02-04,Steering Failure,1
2020-05-18,Steering Failure,1
2020-07-20,Steering Failure,2
2018-12-30,Steering Failure,2
2012-08-28,Steering Failure,1
2018-04-06,Steering Failure,1
2019-11-29,Steering Failure,1
2014-04-24,Steering Failure,2
2013-01-04,Steering Failure,3
2016-10-22,Steering Failure,1
2015-06-18,Steering Failure,1
2021-10-02,Steering Failure,2
2018-07-17,Steering Failure,1
2019-04-18,Steering Failure,2
2018-04-19,Steering Failure,1
2019-08-20,Steering Failure,1
2018-08-31,Steering Failure,1
2021-04-15,Steering Failure,1
2018-04-21,Steering Failure,1
2016-04-09,Steering Failure,1
2014-11-30,Steering Failure,1
2019-09-21,Steering Failure,2
2016-04-06,Steering Failure,1
2014-02-02,Steering Failure,2
2020-06-11,Steering Failure,1
2013-07-18,Steering Failure,1
2015-04-12,Steering Failure,1
2020-10-13,Steering Failure,1
2015-06-30,Steering Failure,1
2013-02-03,Steering Failure,1
2016-01-23,Steering Failure,1
2013-01-27,Steering Failure,1
2022-04-20,Steering Failure,3
2013-01-13,Steering Failure,2
2021-04-04,Steering Failure,1
2017-10-03,Steering Failure,1
2016-04-24,Steering Failure,1
2020-01-11,Steering Failure,1
2013-02-19,Steering Failure,1
2016-04-07,Steering Failure,2
2016-03-30,Steering Failure,3
2016-04-01,Steering Failure,1
2014-07-12,Steering Failure,2
2022-12-01,Steering Failure,1
2013-10-13,Steering Failure,2
2019-10-05,Steering Failure,3
2020-12-26,Steering Failure,1
2020-02-23,Steering Failure,2
2015-06-07,Steering Failure,3
2021-08-19,Steering Failure,4
2014-08-31,Steering Failure,3
2014-08-28,Steering Failure,1
2015-06-10,Steering Failure,1
2016-03-14,Steering Failure,2
2016-02-16,Steering Failure,2
2022-11-12,Steering Failure,1
2015-10-13,Steering Failure,1
2017-08-30,Steering Failure,1
2016-09-30,Steering Failure,2
2016-06-04,Steering Failure,1
2019-09-06,Steering Failure,1
2020-09-19,Steering Failure,2
2018-10-27,Steering Failure,1
2016-06-01,Steering Failure,1
2017-03-20,Steering Failure,1
2016-11-20,Steering Failure,2
2020-07-03,Steering Failure,1
2018-03-03,Steering Failure,2
2022-04-21,Steering Failure,1
2016-09-07,Steering Failure,2
2020-01-06,Steering Failure,1
2019-05-23,Steering Failure,1
2020-08-13,Steering Failure,2
2022-07-28,Steering Failure,1
2016-10-30,Steering Failure,1
2021-09-27,Steering Failure,2
2019-01-06,Steering Failure,1
2018-02-14,Steering Failure,2
2019-04-04,Steering Failure,2
2022-02-24,Steering Failure,1
2016-09-16,Steering Failure,1
2021-04-28,Steering Failure,2
2021-04-11,Steering Failure,2
2020-08-21,Steering Failure,3
2016-05-15,Steering Failure,1
2020-02-04,Steering Failure,1
2019-02-25,Steering Failure,2
2020-11-25,Steering Failure,1
2019-10-21,Steering Failure,2
2020-01-01,Steering Failure,1
2019-09-12,Steering Failure,2
2017-03-14,Steering Failure,1
2021-03-04,Steering Failure,2
2022-11-30,Steering Failure,2
2021-11-25,Steering Failure,3
2016-12-02,Steering Failure,1
2018-07-20,Steering Failure,2
2017-11-13,Steering Failure,1
2018-06-24,Steering Failure,1
2017-01-13,Steering Failure,1
2019-06-10,Steering Failure,1
2018-07-10,Steering Failure,1
2018-02-12,Steering Failure,1
2017-01-07,Steering Failure,4
2018-06-12,Steering Failure,2
2020-03-28,Steering Failure,2
2018-12-16,Steering Failure,1
2019-07-18,Steering Failure,1
2021-09-13,Steering Failure,1
2016-12-09,Steering Failure,1
2019-05-22,Steering Failure,1
2018-10-18,Steering Failure,2
2018-07-29,Steering Failure,1
2016-08-05,Steering Failure,3
2018-09-22,Steering Failure,1
2021-08-13,Steering Failure,1
2022-01-29,Steering Failure,1
2017-03-29,Steering Failure,2
2016-09-13,Steering Failure,1
2018-04-13,Steering Failure,2
2020-07-04,Steering Failure,1
2019-08-09,Steering Failure,2
2016-05-31,Steering Failure,2
2018-08-13,Steering Failure,2
2019-10-01,Steering Failure,1
2021-01-30,Steering Failure,3
2021-09-22,Steering Failure,1
2019-06-15,Steering Failure,1
2017-03-13,Steering Failure,1
2017-04-05,Steering Failure,1
2017-05-07,Steering Failure,1
2019-07-04,Steering Failure,1
2018-11-15,Steering Failure,3
2017-07-15,Steering Failure,1
2018-06-11,Steering Failure,2
2020-12-23,Steering Failure,2
2018-09-07,Steering Failure,1
2019-04-11,Steering Failure,1
2019-05-05,Steering Failure,1
2020-10-11,Steering Failure,1
2019-04-21,Steering Failure,2
2018-01-08,Steering Failure,1
2018-08-17,Steering Failure,1
2018-05-12,Steering Failure,2
2018-12-11,Steering Failure,1
2020-08-22,Steering Failure,4
2018-03-30,Steering Failure,2
2020-08-09,Steering Failure,2
2017-03-09,Steering Failure,2
2013-06-20,Steering Failure,1
2018-04-11,Steering Failure,1
2021-11-12,Steering Failure,1
2018-11-04,Steering Failure,3
2018-08-06,Steering Failure,1
2022-05-01,Steering Failure,1
2020-11-07,Steering Failure,1
2020-12-06,Steering Failure,3
2019-12-27,Steering Failure,2
2017-06-03,Steering Failure,1
2019-12-19,Steering Failure,4
2019-11-22,Steering Failure,1
2019-01-03,Steering Failure,1
2014-05-10,Steering Failure,1
2014-05-16,Steering Failure,2
2016-01-19,Steering Failure,1
2021-10-08,Steering Failure,1
2015-05-01,Steering Failure,1
2012-11-29,Steering Failure,1
2013-02-13,Steering Failure,1
2016-03-02,Steering Failure,1
2015-04-29,Steering Failure,1
2014-07-11,Steering Failure,2
2015-04-02,Steering Failure,1
2015-07-12,Steering Failure,1
2012-07-28,Steering Failure,1
2014-08-02,Steering Failure,1
2012-10-28,Steering Failure,2
2013-08-29,Steering Failure,1
2015-11-17,Steering Failure,1
2013-03-05,Steering Failure,2
2015-11-19,Steering Failure,1
2014-06-06,Steering Failure,1
2014-04-08,Steering Failure,1
2014-11-20,Steering Failure,1
2013-09-12,Steering Failure,1
2015-12-23,Steering Failure,1
2012-08-30,Steering Failure,1
2013-10-17,Steering Failure,1
2015-06-22,Steering Failure,1
2013-01-02,Steering Failure,1
2013-10-20,Steering Failure,1
2017-09-08,Steering Failure,5
2014-10-24,Steering Failure,1
2022-03-28,Steering Failure,1
2020-08-31,Steering Failure,1
2015-12-08,Steering Failure,1
2020-01-13,Steering Failure,1
2013-05-12,Steering Failure,1
2018-04-08,Steering Failure,2
2018-02-28,Steering Failure,1
2013-02-17,Steering Failure,1
2014-08-04,Steering Failure,1
2012-08-05,Steering Failure,1
2022-09-08,Steering Failure,1
2021-12-09,Steering Failure,1
2022-01-17,Steering Failure,2
2021-06-30,Steering Failure,2
2015-03-07,Steering Failure,1
2012-09-08,Steering Failure,3
2021-06-22,Steering Failure,1
2015-12-25,Steering Failure,3
2017-09-20,Steering Failure,1
2018-10-06,Steering Failure,1
2019-07-22,Steering Failure,2
2016-08-27,Steering Failure,1
2015-08-17,Steering Failure,1
2022-05-17,Steering Failure,1
2015-12-04,Steering Failure,1
2018-11-14,Steering Failure,1
2019-06-09,Steering Failure,2
2018-02-24,Steering Failure,1
2014-08-15,Steering Failure,2
2012-08-15,Steering Failure,1
2021-05-18,Steering Failure,1
2014-07-27,Steering Failure,1
2013-08-02,Steering Failure,2
2017-04-04,Steering Failure,1
